combination,n_models,strategy,models,weights,holdout_lower_ci,cv_lower_ci,gap
dr_learner+t_learner_lgb+x_learner,3,equal,"['dr_learner', 't_learner_lgb', 'x_learner']","{'dr_learner': 0.3333333333333333, 't_learner_lgb': 0.3333333333333333, 'x_learner': 0.3333333333333333}",0.0253,,
t_learner_lgb+r_learner+hurdle,3,equal,"['t_learner_lgb', 'r_learner', 'hurdle']","{'t_learner_lgb': 0.3333333333333333, 'r_learner': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.0248,,
t_learner_lgb+hurdle,2,gap_weights,"['t_learner_lgb', 'hurdle']","{'t_learner_lgb': 0.5008064516129032, 'hurdle': 0.4991935483870968}",0.0243,,
t_learner_lgb+hurdle,2,equal,"['t_learner_lgb', 'hurdle']","{'t_learner_lgb': 0.5, 'hurdle': 0.5}",0.0242,,
t_learner_lgb+x_learner,2,equal,"['t_learner_lgb', 'x_learner']","{'t_learner_lgb': 0.5, 'x_learner': 0.5}",0.0241,,
dr_learner+hurdle,2,equal,"['dr_learner', 'hurdle']","{'dr_learner': 0.5, 'hurdle': 0.5}",0.024,,
dr_learner+hurdle,2,gap_weights,"['dr_learner', 'hurdle']","{'dr_learner': 0.5018181818181818, 'hurdle': 0.4981818181818183}",0.0239,,
t_learner_lgb+x_learner,2,rank_weights,"['t_learner_lgb', 'x_learner']","{'t_learner_lgb': 0.6666666666666666, 'x_learner': 0.3333333333333333}",0.023,,
t_learner_lgb+x_learner,2,gap_weights,"['t_learner_lgb', 'x_learner']","{'t_learner_lgb': 0.5004035512510088, 'x_learner': 0.49959644874899106}",0.0229,,
dr_learner+hurdle,2,rank_weights,"['dr_learner', 'hurdle']","{'dr_learner': 0.6666666666666666, 'hurdle': 0.3333333333333333}",0.0221,,
dr_learner+t_learner_lgb+hurdle,3,equal,"['dr_learner', 't_learner_lgb', 'hurdle']","{'dr_learner': 0.3333333333333333, 't_learner_lgb': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.022,,
t_learner_lgb+hurdle,2,rank_weights,"['t_learner_lgb', 'hurdle']","{'hurdle': 0.6666666666666666, 't_learner_lgb': 0.3333333333333333}",0.0219,,
t_learner_ridge+hurdle,2,rank_weights,"['t_learner_ridge', 'hurdle']","{'hurdle': 0.6666666666666666, 't_learner_ridge': 0.3333333333333333}",0.0212,,
dr_learner+r_learner+hurdle,3,equal,"['dr_learner', 'r_learner', 'hurdle']","{'dr_learner': 0.3333333333333333, 'r_learner': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.0212,,
t_learner_lgb+x_learner+r_learner,3,equal,"['t_learner_lgb', 'x_learner', 'r_learner']","{'t_learner_lgb': 0.3333333333333333, 'x_learner': 0.3333333333333333, 'r_learner': 0.3333333333333333}",0.0208,,
r_learner+hurdle,2,gap_weights,"['r_learner', 'hurdle']","{'r_learner': 0.5024271844660194, 'hurdle': 0.49757281553398053}",0.0205,,
t_learner_lgb+t_learner_ridge+x_learner,3,equal,"['t_learner_lgb', 't_learner_ridge', 'x_learner']","{'t_learner_lgb': 0.3333333333333333, 't_learner_ridge': 0.3333333333333333, 'x_learner': 0.3333333333333333}",0.02,,
dr_learner+t_learner_lgb,2,gap_weights,"['dr_learner', 't_learner_lgb']","{'dr_learner': 0.5010117361392148, 't_learner_lgb': 0.49898826386078504}",0.0197,,
r_learner+hurdle,2,equal,"['r_learner', 'hurdle']","{'r_learner': 0.5, 'hurdle': 0.5}",0.0196,,
t_learner_lgb+x_learner+hurdle,3,equal,"['t_learner_lgb', 'x_learner', 'hurdle']","{'t_learner_lgb': 0.3333333333333333, 'x_learner': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.0193,,
dr_learner+t_learner_lgb,2,rank_weights,"['dr_learner', 't_learner_lgb']","{'dr_learner': 0.6666666666666666, 't_learner_lgb': 0.3333333333333333}",0.0185,,
hurdle,1,single,['hurdle'],{'hurdle': 1.0},0.0183,-0.0008,0.0242
dr_learner+t_learner_lgb,2,equal,"['dr_learner', 't_learner_lgb']","{'dr_learner': 0.5, 't_learner_lgb': 0.5}",0.018,,
t_learner_lgb,1,single,['t_learner_lgb'],{'t_learner_lgb': 1.0},0.0176,-0.0077,0.0238
t_learner_lgb+t_learner_ridge+hurdle,3,equal,"['t_learner_lgb', 't_learner_ridge', 'hurdle']","{'t_learner_lgb': 0.3333333333333333, 't_learner_ridge': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.0176,,
