combination,n_models,strategy,models,weights,holdout_lower_ci,cv_lower_ci,gap
dr_learner+t_learner_lgb+hurdle,3,equal,"['dr_learner', 't_learner_lgb', 'hurdle']","{'dr_learner': 0.3333333333333333, 't_learner_lgb': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.4462,,
dr_learner+x_learner+hurdle,3,equal,"['dr_learner', 'x_learner', 'hurdle']","{'dr_learner': 0.3333333333333333, 'x_learner': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.4456,,
t_learner_lgb+r_learner+hurdle,3,equal,"['t_learner_lgb', 'r_learner', 'hurdle']","{'t_learner_lgb': 0.3333333333333333, 'r_learner': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.4453,,
x_learner+r_learner+hurdle,3,equal,"['x_learner', 'r_learner', 'hurdle']","{'x_learner': 0.3333333333333333, 'r_learner': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.4447,,
t_learner_lgb+hurdle,2,rank_weights,"['t_learner_lgb', 'hurdle']","{'hurdle': 0.6666666666666666, 't_learner_lgb': 0.3333333333333333}",0.4443,,
x_learner+hurdle,2,rank_weights,"['x_learner', 'hurdle']","{'hurdle': 0.6666666666666666, 'x_learner': 0.3333333333333333}",0.4442,,
t_learner_lgb+t_learner_ridge+hurdle,3,ci_weights,"['t_learner_lgb', 't_learner_ridge', 'hurdle']","{'t_learner_lgb': 0.4125436329295337, 't_learner_ridge': 0.12808474626116834, 'hurdle': 0.4593716087712578}",0.4434,,
dr_learner+hurdle,2,gap_weights,"['dr_learner', 'hurdle']","{'dr_learner': 0.49790444258172667, 'hurdle': 0.5020955574182733}",0.4434,,
t_learner_lgb+hurdle,2,ci_weights,"['t_learner_lgb', 'hurdle']","{'t_learner_lgb': 0.47314647973013285, 'hurdle': 0.5268535064634335}",0.4433,,
t_learner_lgb+r_learner+hurdle,3,ci_weights,"['t_learner_lgb', 'r_learner', 'hurdle']","{'t_learner_lgb': 0.3167282780339346, 'r_learner': 0.3305914941719825, 'hurdle': 0.3526802185519388}",0.4432,,
t_learner_lgb+x_learner+hurdle,3,ci_weights,"['t_learner_lgb', 'x_learner', 'hurdle']","{'t_learner_lgb': 0.3233628956089555, 'x_learner': 0.3165691610061412, 'hurdle': 0.3600679339491608}",0.443,,
