combination,n_models,strategy,models,weights,holdout_lower_ci,cv_lower_ci,gap
t_learner_ridge+x_learner+r_learner,3,ci_weights,"['t_learner_ridge', 'x_learner', 'r_learner']","{'t_learner_ridge': 0.33521734155647437, 'x_learner': 0.3285985188391086, 'r_learner': 0.33618413588597723}",0.8949,,
t_learner_ridge+x_learner+r_learner,3,equal,"['t_learner_ridge', 'x_learner', 'r_learner']","{'t_learner_ridge': 0.3333333333333333, 'x_learner': 0.3333333333333333, 'r_learner': 0.3333333333333333}",0.8929,,
t_learner_ridge+x_learner,2,ci_weights,"['t_learner_ridge', 'x_learner']","{'t_learner_ridge': 0.5049854329767789, 'x_learner': 0.4950145614216079}",0.8928,,
t_learner_ridge+hurdle,2,rank_weights,"['t_learner_ridge', 'hurdle']","{'t_learner_ridge': 0.6666666666666666, 'hurdle': 0.3333333333333333}",0.8917,,
t_learner_ridge+hurdle,2,gap_weights,"['t_learner_ridge', 'hurdle']","{'t_learner_ridge': 0.4990283715507189, 'hurdle': 0.5009716284492811}",0.8901,,
t_learner_ridge,1,single,['t_learner_ridge'],{'t_learner_ridge': 1.0},0.8875,0.9015,0.028900000000000037
t_learner_ridge+x_learner,2,gap_weights,"['t_learner_ridge', 'x_learner']","{'t_learner_ridge': 0.5021243723445343, 'x_learner': 0.49787562765546567}",0.8873,,
dr_learner+t_learner_ridge,2,gap_weights,"['dr_learner', 't_learner_ridge']","{'dr_learner': 0.5062843676355067, 't_learner_ridge': 0.49371563236449334}",0.8869,,
x_learner+hurdle,2,ci_weights,"['x_learner', 'hurdle']","{'x_learner': 0.49537529852920403, 'hurdle': 0.5046246958651006}",0.886,,
t_learner_lgb+r_learner,2,rank_weights,"['t_learner_lgb', 'r_learner']","{'r_learner': 0.6666666666666666, 't_learner_lgb': 0.3333333333333333}",0.8853,,
t_learner_ridge+hurdle,2,equal,"['t_learner_ridge', 'hurdle']","{'t_learner_ridge': 0.5, 'hurdle': 0.5}",0.8852,,
t_learner_ridge+r_learner,2,gap_weights,"['t_learner_ridge', 'r_learner']","{'t_learner_ridge': 0.4888977002379063, 'r_learner': 0.5111022997620936}",0.8843,,
dr_learner+t_learner_ridge,2,rank_weights,"['dr_learner', 't_learner_ridge']","{'t_learner_ridge': 0.6666666666666666, 'dr_learner': 0.3333333333333333}",0.8839,,
dr_learner+t_learner_ridge+x_learner,3,equal,"['dr_learner', 't_learner_ridge', 'x_learner']","{'dr_learner': 0.3333333333333333, 't_learner_ridge': 0.3333333333333333, 'x_learner': 0.3333333333333333}",0.8838,,
t_learner_ridge+hurdle,2,ci_weights,"['t_learner_ridge', 'hurdle']","{'t_learner_ridge': 0.5003607676063675, 'hurdle': 0.499639226843319}",0.8837,,
t_learner_ridge+x_learner,2,rank_weights,"['t_learner_ridge', 'x_learner']","{'t_learner_ridge': 0.6666666666666666, 'x_learner': 0.3333333333333333}",0.8837,,
t_learner_lgb+x_learner+r_learner,3,ci_weights,"['t_learner_lgb', 'x_learner', 'r_learner']","{'t_learner_lgb': 0.33126355827312204, 'x_learner': 0.3305528528070889, 'r_learner': 0.338183585179234}",0.8834,,
dr_learner+t_learner_ridge+r_learner,3,equal,"['dr_learner', 't_learner_ridge', 'r_learner']","{'dr_learner': 0.3333333333333333, 't_learner_ridge': 0.3333333333333333, 'r_learner': 0.3333333333333333}",0.8827,,
dr_learner+t_learner_ridge,2,equal,"['dr_learner', 't_learner_ridge']","{'dr_learner': 0.5, 't_learner_ridge': 0.5}",0.8825,,
x_learner+r_learner+hurdle,3,equal,"['x_learner', 'r_learner', 'hurdle']","{'x_learner': 0.3333333333333333, 'r_learner': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.8823,,
t_learner_lgb+t_learner_ridge+r_learner,3,ci_weights,"['t_learner_lgb', 't_learner_ridge', 'r_learner']","{'t_learner_lgb': 0.32907253147639515, 't_learner_ridge': 0.3349806765198399, 'r_learner': 0.3359467882879504}",0.8823,,
r_learner+hurdle,2,ci_weights,"['r_learner', 'hurdle']","{'r_learner': 0.501080748760845, 'hurdle': 0.49891924569683954}",0.8817,,
dr_learner+x_learner,2,gap_weights,"['dr_learner', 'x_learner']","{'dr_learner': 0.5084082909659755, 'x_learner': 0.4915917090340245}",0.8817,,
r_learner+hurdle,2,rank_weights,"['r_learner', 'hurdle']","{'r_learner': 0.6666666666666666, 'hurdle': 0.3333333333333333}",0.8817,,
dr_learner+x_learner+hurdle,3,equal,"['dr_learner', 'x_learner', 'hurdle']","{'dr_learner': 0.3333333333333333, 'x_learner': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.8817,,
x_learner+hurdle,2,gap_weights,"['x_learner', 'hurdle']","{'x_learner': 0.496904024767802, 'hurdle': 0.503095975232198}",0.8814,,
r_learner+hurdle,2,gap_weights,"['r_learner', 'hurdle']","{'r_learner': 0.5101311084624554, 'hurdle': 0.48986889153754465}",0.8814,,
dr_learner+t_learner_ridge+x_learner,3,ci_weights,"['dr_learner', 't_learner_ridge', 'x_learner']","{'dr_learner': 0.3347741826845499, 't_learner_ridge': 0.33592934738437413, 'x_learner': 0.3292964662047382}",0.8814,,
x_learner+hurdle,2,equal,"['x_learner', 'hurdle']","{'x_learner': 0.5, 'hurdle': 0.5}",0.8808,,
x_learner+r_learner,2,equal,"['x_learner', 'r_learner']","{'x_learner': 0.5, 'r_learner': 0.5}",0.8808,,
dr_learner+t_learner_ridge,2,ci_weights,"['dr_learner', 't_learner_ridge']","{'dr_learner': 0.4991388382735772, 't_learner_ridge': 0.5008611561705586}",0.8806,,
x_learner+hurdle,2,rank_weights,"['x_learner', 'hurdle']","{'hurdle': 0.6666666666666666, 'x_learner': 0.3333333333333333}",0.8803,,
dr_learner+t_learner_lgb+t_learner_ridge,3,equal,"['dr_learner', 't_learner_lgb', 't_learner_ridge']","{'dr_learner': 0.3333333333333333, 't_learner_lgb': 0.3333333333333333, 't_learner_ridge': 0.3333333333333333}",0.8802,,
